{5/3, 0}
{5/12 - sqrt(33)/12, -sqrt(3)/4 + sqrt(11)/12}
{-3/2, -sqrt(3)/2}
{-3/4 - sqrt(33)/12, -sqrt(11)/4 - sqrt(3)/12}
{-17/12 + sqrt(33)/12, -5*sqrt(3)/12 - sqrt(11)/12}
{-7/12 - sqrt(33)/12, -5*sqrt(3)/12 - sqrt(11)/12}
{-5/4 + sqrt(33)/12, -sqrt(11)/4 - sqrt(3)/12}
{-1/2, -sqrt(3)/2}
{-3/4 + sqrt(33)/12, -sqrt(11)/4 + sqrt(3)/12}
{-7/12 + sqrt(33)/12, -5*sqrt(3)/12 + sqrt(11)/12}
{1/4 - sqrt(33)/4, -sqrt(11)/4 - sqrt(3)/4}
{-sqrt(33)/12 - 5/12, -7*sqrt(3)/12 - sqrt(11)/12}
{5/12 - sqrt(33)/4, -7*sqrt(3)/12 - sqrt(11)/12}
{-sqrt(33)/12 - 1/4, -sqrt(11)/4 - sqrt(3)/4}
{1/2 - sqrt(33)/6, -2*sqrt(3)/3}
{1/4 - sqrt(33)/12, -sqrt(11)/4 - sqrt(3)/12}
{5/12 - sqrt(33)/12, -7*sqrt(3)/12 + sqrt(11)/12}
{-5/4 + sqrt(33)/12, -sqrt(11)/4 - 5*sqrt(3)/12}
{-13/12 + sqrt(33)/12, -5*sqrt(11)/12 - sqrt(3)/12}
{-1/3, -sqrt(3)/2 - sqrt(11)/6}
{-7/12 + sqrt(33)/12, -5*sqrt(11)/12 + sqrt(3)/12}
{-5/12 + sqrt(33)/12, -5*sqrt(3)/12 - sqrt(11)/12}
{-5/6, -5*sqrt(3)/6}
{-sqrt(33)/6, -5*sqrt(3)/6}
{-2/3, -sqrt(3)/2 - sqrt(11)/6}
{1/12 - sqrt(33)/12, -11*sqrt(3)/12 + sqrt(11)/12}
{-1/6, -sqrt(3)/3 - sqrt(11)/6}
{0, -5*sqrt(3)/6 + sqrt(11)/6}
{-1/2, -sqrt(11)/2}
{1/4 - sqrt(33)/12, -sqrt(11)/4 - 5*sqrt(3)/12}
{0, -sqrt(11)/2 + sqrt(3)/6}
{1/6, -sqrt(3)/3 - sqrt(11)/6}
{0, -sqrt(3)}
{-1/4 + sqrt(33)/12, -sqrt(11)/4 - 5*sqrt(3)/12}
{-1/12 + sqrt(33)/12, -11*sqrt(3)/12 + sqrt(11)/12}
{1/2, -sqrt(11)/2}
{2/3, -sqrt(3)/2 - sqrt(11)/6}
{sqrt(33)/6, -5*sqrt(3)/6}
{5/6, -5*sqrt(3)/6}
