{-9/4, 3*sqrt(7)/4}
{-281/128 - 7*sqrt(77)/128 + sqrt(165)/384 + 3*sqrt(105)/128, -sqrt(1155)/128 - 7*sqrt(11)/384 + sqrt(15)/128 + 75*sqrt(7)/128}
{-1735/768 - 7*sqrt(77)/256 - 7*sqrt(21)/256 - sqrt(105)/256 + sqrt(5)/256 + sqrt(165)/768 + 7*sqrt(33)/768 + 3*sqrt(385)/256, -7*sqrt(231)/256 - sqrt(1155)/256 - 3*sqrt(35)/256 - 7*sqrt(11)/768 - 7*sqrt(3)/768 - sqrt(15)/768 + sqrt(55)/256 + 199*sqrt(7)/256}
{-425/192 - 7*sqrt(77)/128 - sqrt(5)/128 + sqrt(165)/384 + sqrt(105)/64 + 7*sqrt(21)/128, -sqrt(1155)/128 - 7*sqrt(11)/384 + sqrt(15)/192 + 7*sqrt(3)/384 + 3*sqrt(35)/128 + 41*sqrt(7)/64}
{-583/256 - 7*sqrt(77)/256 - 3*sqrt(105)/256 - sqrt(5)/256 + sqrt(165)/768 + 7*sqrt(33)/768 + 7*sqrt(21)/256 + 3*sqrt(385)/256, -7*sqrt(231)/256 - sqrt(1155)/256 - 7*sqrt(11)/768 - sqrt(15)/256 + 7*sqrt(3)/768 + sqrt(55)/256 + 3*sqrt(35)/256 + 213*sqrt(7)/256}
{-569/256 - 63*sqrt(21)/256 - sqrt(165)/256 + 7*sqrt(33)/768 + 9*sqrt(5)/256 + 3*sqrt(105)/256 + 3*sqrt(385)/256 + 21*sqrt(77)/256, -27*sqrt(35)/256 - 7*sqrt(231)/256 - 21*sqrt(3)/256 + sqrt(15)/256 + sqrt(55)/256 + 7*sqrt(11)/256 + 3*sqrt(1155)/256 + 171*sqrt(7)/256}
{-267/128 - 7*sqrt(21)/64 - 3*sqrt(385)/128 - 7*sqrt(33)/384 + sqrt(5)/64 + 9*sqrt(105)/128, -3*sqrt(35)/64 - 7*sqrt(3)/192 - sqrt(55)/128 + 3*sqrt(15)/128 + 33*sqrt(7)/128 + 7*sqrt(231)/128}
{-1651/768 - 35*sqrt(21)/256 - 3*sqrt(385)/256 - 7*sqrt(33)/768 - sqrt(165)/768 + 5*sqrt(5)/256 + 7*sqrt(77)/256 + 11*sqrt(105)/256, -15*sqrt(35)/256 - 35*sqrt(3)/768 - sqrt(55)/256 + 7*sqrt(11)/768 + 11*sqrt(15)/768 + sqrt(1155)/256 + 7*sqrt(231)/256 + 115*sqrt(7)/256}
{-425/192 - 21*sqrt(21)/128 - sqrt(165)/384 + 3*sqrt(5)/128 + sqrt(105)/64 + 7*sqrt(77)/128, -9*sqrt(35)/128 - 7*sqrt(3)/128 + sqrt(15)/192 + 7*sqrt(11)/384 + sqrt(1155)/128 + 41*sqrt(7)/64}
{-425/192 + sqrt(105)/64, sqrt(15)/192 + 41*sqrt(7)/64}
{-137/64 + 3*sqrt(105)/64, sqrt(15)/64 + 27*sqrt(7)/64}
{-65/32 + 3*sqrt(105)/32, sqrt(15)/32 + 3*sqrt(7)/32}
{-295/128 + 7*sqrt(33)/384 + sqrt(105)*(-3 + sqrt(33))/128, -7*sqrt(231)/128 - sqrt(15)/128 + sqrt(55)/128 + 117*sqrt(7)/128}
{-281/128 - sqrt(5)/128 + 3*sqrt(105)/128 + 7*sqrt(21)/128, sqrt(15)/128 + 7*sqrt(3)/384 + 3*sqrt(35)/128 + 75*sqrt(7)/128}
{-137/64 - sqrt(5)/64 + 3*sqrt(105)/64 + 7*sqrt(21)/64, sqrt(15)/64 + 7*sqrt(3)/192 + 3*sqrt(35)/64 + 27*sqrt(7)/64}
{-267/128 - 3*sqrt(5)/128 + 9*sqrt(105)/128 + 21*sqrt(21)/128, 3*sqrt(15)/128 + 7*sqrt(3)/128 + 9*sqrt(35)/128 + 33*sqrt(7)/128}
{-815/384 - sqrt(165)/384 + 7*sqrt(77)/128 + 7*sqrt(105)/128, 7*sqrt(11)/384 + 7*sqrt(15)/384 + sqrt(1155)/128 + 47*sqrt(7)/128}
{-857/384 - 7*sqrt(77)/128 - sqrt(5)/64 + sqrt(165)/384 + sqrt(105)/128 + 7*sqrt(21)/64, -sqrt(1155)/128 - 7*sqrt(11)/384 + sqrt(15)/384 + 7*sqrt(3)/192 + 3*sqrt(35)/64 + 89*sqrt(7)/128}
{-829/384 - 7*sqrt(77)/128 - sqrt(5)/64 + sqrt(165)/384 + 5*sqrt(105)/128 + 7*sqrt(21)/64, -sqrt(1155)/128 - 7*sqrt(11)/384 + 5*sqrt(15)/384 + 7*sqrt(3)/192 + 3*sqrt(35)/64 + 61*sqrt(7)/128}
{-209/96 - 7*sqrt(21)/128 - sqrt(165)/384 + sqrt(5)/128 + sqrt(105)/32 + 7*sqrt(77)/128, -3*sqrt(35)/128 - 7*sqrt(3)/384 + sqrt(15)/96 + 7*sqrt(11)/384 + sqrt(1155)/128 + 17*sqrt(7)/32}
{-209/96 - 7*sqrt(77)/128 - 3*sqrt(5)/128 + sqrt(165)/384 + sqrt(105)/32 + 21*sqrt(21)/128, -sqrt(1155)/128 - 7*sqrt(11)/384 + sqrt(15)/96 + 7*sqrt(3)/128 + 9*sqrt(35)/128 + 17*sqrt(7)/32}
{-9/4 - sqrt(5)/128 + 7*sqrt(33)/384 + 7*sqrt(21)/128 + 3*sqrt(385)/128, -7*sqrt(231)/128 + 7*sqrt(3)/384 + sqrt(55)/128 + 3*sqrt(35)/128 + 3*sqrt(7)/4}
{-281/128 - sqrt(5)/64 + 7*sqrt(33)/384 + 3*sqrt(105)/128 + 3*sqrt(385)/128 + 7*sqrt(21)/64, -7*sqrt(231)/128 + sqrt(15)/128 + sqrt(55)/128 + 7*sqrt(3)/192 + 3*sqrt(35)/64 + 75*sqrt(7)/128}
{-857/384 - 7*sqrt(77)/128 - 3*sqrt(5)/128 + sqrt(165)/384 + sqrt(105)/128 + 7*sqrt(33)/384 + 3*sqrt(385)/128 + 21*sqrt(21)/128, -7*sqrt(231)/128 - sqrt(1155)/128 - 7*sqrt(11)/384 + sqrt(15)/384 + sqrt(55)/128 + 7*sqrt(3)/128 + 9*sqrt(35)/128 + 89*sqrt(7)/128}
{-871/384 - 7*sqrt(77)/128 - sqrt(105)/128 - 3*sqrt(5)/128 + sqrt(165)/384 + 7*sqrt(33)/384 + 3*sqrt(385)/128 + 21*sqrt(21)/128, -7*sqrt(231)/128 - sqrt(1155)/128 - 7*sqrt(11)/384 - sqrt(15)/384 + sqrt(55)/128 + 7*sqrt(3)/128 + 9*sqrt(35)/128 + 103*sqrt(7)/128}
{-857/384 - 7*sqrt(21)/128 - sqrt(165)/384 + sqrt(5)/128 + sqrt(105)/128 + 7*sqrt(33)/384 + 3*sqrt(385)/128 + 7*sqrt(77)/128, -7*sqrt(231)/128 - 3*sqrt(35)/128 - 7*sqrt(3)/384 + sqrt(15)/384 + sqrt(55)/128 + 7*sqrt(11)/384 + sqrt(1155)/128 + 89*sqrt(7)/128}
{-871/384 - 7*sqrt(21)/128 - sqrt(105)/128 - sqrt(165)/384 + sqrt(5)/128 + 7*sqrt(33)/384 + 3*sqrt(385)/128 + 7*sqrt(77)/128, -7*sqrt(231)/128 - 3*sqrt(35)/128 - 7*sqrt(3)/384 - sqrt(15)/384 + sqrt(55)/128 + 7*sqrt(11)/384 + sqrt(1155)/128 + 103*sqrt(7)/128}
{-439/192 - 7*sqrt(77)/128 - sqrt(105)/64 - sqrt(5)/64 + sqrt(165)/384 + 7*sqrt(33)/384 + 3*sqrt(385)/128 + 7*sqrt(21)/64, -7*sqrt(231)/128 - sqrt(1155)/128 - 7*sqrt(11)/384 - sqrt(15)/192 + sqrt(55)/128 + 7*sqrt(3)/192 + 3*sqrt(35)/64 + 55*sqrt(7)/64}
{-223/96 - 7*sqrt(77)/128 - sqrt(105)/32 - sqrt(5)/64 + sqrt(165)/384 + 7*sqrt(33)/384 + 3*sqrt(385)/128 + 7*sqrt(21)/64, -7*sqrt(231)/128 - sqrt(1155)/128 - 7*sqrt(11)/384 - sqrt(15)/96 + sqrt(55)/128 + 7*sqrt(3)/192 + 3*sqrt(35)/64 + 31*sqrt(7)/32}
{-1637/768 - 7*sqrt(21)/256 - sqrt(165)/768 + sqrt(5)/256 + 7*sqrt(33)/768 + 3*sqrt(385)/256 + 7*sqrt(77)/256 + 13*sqrt(105)/256, -7*sqrt(231)/256 - 3*sqrt(35)/256 - 7*sqrt(3)/768 + sqrt(55)/256 + 7*sqrt(11)/768 + 13*sqrt(15)/768 + sqrt(1155)/256 + 101*sqrt(7)/256}
{-1651/768 - sqrt(165)/768 - sqrt(5)/256 + 7*sqrt(33)/768 + 7*sqrt(21)/256 + 3*sqrt(385)/256 + 7*sqrt(77)/256 + 11*sqrt(105)/256, -7*sqrt(231)/256 + 7*sqrt(3)/768 + sqrt(55)/256 + 7*sqrt(11)/768 + 11*sqrt(15)/768 + 3*sqrt(35)/256 + sqrt(1155)/256 + 115*sqrt(7)/256}
{-555/256 - 21*sqrt(21)/256 - sqrt(165)/256 + 3*sqrt(5)/256 + 7*sqrt(33)/768 + 3*sqrt(385)/256 + 9*sqrt(105)/256 + 21*sqrt(77)/256, -7*sqrt(231)/256 - 9*sqrt(35)/256 - 7*sqrt(3)/256 + sqrt(55)/256 + 3*sqrt(15)/256 + 7*sqrt(11)/256 + 3*sqrt(1155)/256 + 129*sqrt(7)/256}
{-555/256 - 3*sqrt(5)/256 - sqrt(165)/768 + 7*sqrt(33)/768 + 3*sqrt(385)/256 + 7*sqrt(77)/256 + 9*sqrt(105)/256 + 21*sqrt(21)/256, -7*sqrt(231)/256 + sqrt(55)/256 + 7*sqrt(11)/768 + 3*sqrt(15)/256 + 7*sqrt(3)/256 + sqrt(1155)/256 + 9*sqrt(35)/256 + 129*sqrt(7)/256}
{-1679/768 - sqrt(165)/768 - sqrt(5)/256 + 7*sqrt(33)/768 + 7*sqrt(21)/256 + 3*sqrt(385)/256 + 7*sqrt(77)/256 + 7*sqrt(105)/256, -7*sqrt(231)/256 + 7*sqrt(3)/768 + sqrt(55)/256 + 7*sqrt(11)/768 + 7*sqrt(15)/768 + 3*sqrt(35)/256 + sqrt(1155)/256 + 143*sqrt(7)/256}
{-1679/768 - 7*sqrt(77)/256 - 3*sqrt(5)/256 + sqrt(165)/768 + 7*sqrt(33)/768 + 3*sqrt(385)/256 + 7*sqrt(105)/256 + 21*sqrt(21)/256, -7*sqrt(231)/256 - sqrt(1155)/256 - 7*sqrt(11)/768 + sqrt(55)/256 + 7*sqrt(15)/768 + 7*sqrt(3)/256 + 9*sqrt(35)/256 + 143*sqrt(7)/256}
{-1693/768 - 7*sqrt(77)/256 - 5*sqrt(5)/256 + sqrt(165)/768 + 7*sqrt(33)/768 + 5*sqrt(105)/256 + 3*sqrt(385)/256 + 35*sqrt(21)/256, -7*sqrt(231)/256 - sqrt(1155)/256 - 7*sqrt(11)/768 + 5*sqrt(15)/768 + sqrt(55)/256 + 35*sqrt(3)/768 + 15*sqrt(35)/256 + 157*sqrt(7)/256}
{-1693/768 - 7*sqrt(21)/256 - sqrt(165)/768 + sqrt(5)/256 + 7*sqrt(33)/768 + 5*sqrt(105)/256 + 3*sqrt(385)/256 + 7*sqrt(77)/256, -7*sqrt(231)/256 - 3*sqrt(35)/256 - 7*sqrt(3)/768 + 5*sqrt(15)/768 + sqrt(55)/256 + 7*sqrt(11)/768 + sqrt(1155)/256 + 157*sqrt(7)/256}
{-569/256 - 35*sqrt(21)/256 - sqrt(165)/256 + 5*sqrt(5)/256 + 7*sqrt(33)/768 + 3*sqrt(105)/256 + 3*sqrt(385)/256 + 21*sqrt(77)/256, -7*sqrt(231)/256 - 15*sqrt(35)/256 - 35*sqrt(3)/768 + sqrt(15)/256 + sqrt(55)/256 + 7*sqrt(11)/256 + 3*sqrt(1155)/256 + 171*sqrt(7)/256}
{-569/256 - sqrt(165)/768 - sqrt(5)/256 + 7*sqrt(33)/768 + 3*sqrt(105)/256 + 7*sqrt(21)/256 + 3*sqrt(385)/256 + 7*sqrt(77)/256, -7*sqrt(231)/256 + sqrt(15)/256 + 7*sqrt(3)/768 + sqrt(55)/256 + 7*sqrt(11)/768 + 3*sqrt(35)/256 + sqrt(1155)/256 + 171*sqrt(7)/256}
{-569/256 - 7*sqrt(77)/256 - 3*sqrt(5)/256 + sqrt(165)/768 + 7*sqrt(33)/768 + 3*sqrt(105)/256 + 3*sqrt(385)/256 + 21*sqrt(21)/256, -7*sqrt(231)/256 - sqrt(1155)/256 - 7*sqrt(11)/768 + sqrt(15)/256 + sqrt(55)/256 + 7*sqrt(3)/256 + 9*sqrt(35)/256 + 171*sqrt(7)/256}
{-1721/768 - 7*sqrt(21)/256 - sqrt(165)/768 + sqrt(5)/256 + sqrt(105)/256 + 7*sqrt(33)/768 + 3*sqrt(385)/256 + 7*sqrt(77)/256, -7*sqrt(231)/256 - 3*sqrt(35)/256 - 7*sqrt(3)/768 + sqrt(15)/768 + sqrt(55)/256 + 7*sqrt(11)/768 + sqrt(1155)/256 + 185*sqrt(7)/256}
{-1735/768 - 7*sqrt(77)/256 - sqrt(105)/256 - 3*sqrt(5)/256 + sqrt(165)/768 + 7*sqrt(33)/768 + 3*sqrt(385)/256 + 21*sqrt(21)/256, -7*sqrt(231)/256 - sqrt(1155)/256 - 7*sqrt(11)/768 - sqrt(15)/768 + sqrt(55)/256 + 7*sqrt(3)/256 + 9*sqrt(35)/256 + 199*sqrt(7)/256}
{-583/256 - 7*sqrt(21)/256 - 3*sqrt(105)/256 - sqrt(165)/768 + sqrt(5)/256 + 7*sqrt(33)/768 + 3*sqrt(385)/256 + 7*sqrt(77)/256, -7*sqrt(231)/256 - 3*sqrt(35)/256 - 7*sqrt(3)/768 - sqrt(15)/256 + sqrt(55)/256 + 7*sqrt(11)/768 + sqrt(1155)/256 + 213*sqrt(7)/256}
{-541/256 - 21*sqrt(21)/256 - 3*sqrt(385)/256 - 7*sqrt(33)/768 - sqrt(165)/256 + 3*sqrt(5)/256 + 15*sqrt(105)/256 + 21*sqrt(77)/256, -9*sqrt(35)/256 - 7*sqrt(3)/256 - sqrt(55)/256 + 5*sqrt(15)/256 + 7*sqrt(11)/256 + 3*sqrt(1155)/256 + 7*sqrt(231)/256 + 87*sqrt(7)/256}
{-541/256 - 21*sqrt(77)/256 - 3*sqrt(385)/256 - 7*sqrt(5)/256 - 7*sqrt(33)/768 + sqrt(165)/256 + 15*sqrt(105)/256 + 49*sqrt(21)/256, -3*sqrt(1155)/256 - 7*sqrt(11)/256 - sqrt(55)/256 + 5*sqrt(15)/256 + 49*sqrt(3)/768 + 7*sqrt(231)/256 + 21*sqrt(35)/256 + 87*sqrt(7)/256}
{-1637/768 - 7*sqrt(77)/256 - 3*sqrt(385)/256 - 7*sqrt(33)/768 - 3*sqrt(5)/256 + sqrt(165)/768 + 21*sqrt(21)/256 + 13*sqrt(105)/256, -sqrt(1155)/256 - 7*sqrt(11)/768 - sqrt(55)/256 + 7*sqrt(3)/256 + 13*sqrt(15)/768 + 9*sqrt(35)/256 + 7*sqrt(231)/256 + 101*sqrt(7)/256}
{-1651/768 - 3*sqrt(385)/256 - 7*sqrt(21)/256 - 7*sqrt(33)/768 - sqrt(165)/768 + sqrt(5)/256 + 7*sqrt(77)/256 + 11*sqrt(105)/256, -3*sqrt(35)/256 - sqrt(55)/256 - 7*sqrt(3)/768 + 7*sqrt(11)/768 + 11*sqrt(15)/768 + sqrt(1155)/256 + 7*sqrt(231)/256 + 115*sqrt(7)/256}
{-857/384 - sqrt(5)/128 + sqrt(105)/128 + 7*sqrt(21)/128, sqrt(15)/384 + 7*sqrt(3)/384 + 3*sqrt(35)/128 + 89*sqrt(7)/128}
{-281/128 - 3*sqrt(5)/128 + 3*sqrt(105)/128 + 21*sqrt(21)/128, sqrt(15)/128 + 7*sqrt(3)/128 + 9*sqrt(35)/128 + 75*sqrt(7)/128}
{-137/64 - 3*sqrt(5)/64 + 3*sqrt(105)/64 + 21*sqrt(21)/64, sqrt(15)/64 + 7*sqrt(3)/64 + 9*sqrt(35)/64 + 27*sqrt(7)/64}
{-9/4 - (3 - sqrt(33))*(7 - 3*sqrt(5))/768 - sqrt(7)*(3 - sqrt(33))*(sqrt(15) + 7*sqrt(3))/256, sqrt(7)*(3 - sqrt(33))*(7 - 3*sqrt(5))/256 - (3 - sqrt(33))*(sqrt(15) + 7*sqrt(3))/768 + 3*sqrt(7)/4}
{-9/4 - sqrt(5)/64 + 7*sqrt(21)/64, 7*sqrt(3)/192 + 3*sqrt(35)/64 + 3*sqrt(7)/4}
{-9/4 - sqrt(5)/32 + 7*sqrt(21)/32, 7*sqrt(3)/96 + 3*sqrt(35)/32 + 3*sqrt(7)/4}
{-9/4 - 3*sqrt(5)/64 + 21*sqrt(21)/64, 7*sqrt(3)/64 + 9*sqrt(35)/64 + 3*sqrt(7)/4}
{-1679/768 - 3*sqrt(385)/256 - 7*sqrt(5)/256 - 7*sqrt(33)/768 - sqrt(165)/768 + 7*sqrt(77)/256 + 7*sqrt(105)/256 + 49*sqrt(21)/256, -sqrt(55)/256 + 7*sqrt(11)/768 + 7*sqrt(15)/768 + 49*sqrt(3)/768 + sqrt(1155)/256 + 7*sqrt(231)/256 + 21*sqrt(35)/256 + 143*sqrt(7)/256}
{-1763/768 - 7*sqrt(77)/256 - 5*sqrt(105)/256 - 3*sqrt(5)/256 + sqrt(165)/768 + 7*sqrt(33)/768 + 3*sqrt(385)/256 + 21*sqrt(21)/256, -7*sqrt(231)/256 - sqrt(1155)/256 - 7*sqrt(11)/768 - 5*sqrt(15)/768 + sqrt(55)/256 + 7*sqrt(3)/256 + 9*sqrt(35)/256 + 227*sqrt(7)/256}
{-1735/768 - 7*sqrt(77)/256 - 7*sqrt(5)/256 - sqrt(105)/256 + sqrt(165)/768 + 7*sqrt(33)/768 + 3*sqrt(385)/256 + 49*sqrt(21)/256, -7*sqrt(231)/256 - sqrt(1155)/256 - 7*sqrt(11)/768 - sqrt(15)/768 + sqrt(55)/256 + 49*sqrt(3)/768 + 21*sqrt(35)/256 + 199*sqrt(7)/256}
{-1679/768 - 3*sqrt(385)/256 - 7*sqrt(33)/768 - 3*sqrt(5)/256 - sqrt(165)/768 + 7*sqrt(77)/256 + 7*sqrt(105)/256 + 21*sqrt(21)/256, -sqrt(55)/256 + 7*sqrt(11)/768 + 7*sqrt(15)/768 + 7*sqrt(3)/256 + sqrt(1155)/256 + 9*sqrt(35)/256 + 7*sqrt(231)/256 + 143*sqrt(7)/256}
{-1763/768 - 7*sqrt(77)/256 - 5*sqrt(105)/256 - 7*sqrt(5)/256 + sqrt(165)/768 + 7*sqrt(33)/768 + 3*sqrt(385)/256 + 49*sqrt(21)/256, -7*sqrt(231)/256 - sqrt(1155)/256 - 7*sqrt(11)/768 - 5*sqrt(15)/768 + sqrt(55)/256 + 49*sqrt(3)/768 + 21*sqrt(35)/256 + 227*sqrt(7)/256}
{-583/256 - 3*sqrt(105)/256 - sqrt(165)/256 - sqrt(5)/256 + 7*sqrt(33)/768 + 7*sqrt(21)/256 + 3*sqrt(385)/256 + 21*sqrt(77)/256, -7*sqrt(231)/256 - sqrt(15)/256 + 7*sqrt(3)/768 + sqrt(55)/256 + 3*sqrt(35)/256 + 7*sqrt(11)/256 + 3*sqrt(1155)/256 + 213*sqrt(7)/256}
{-583/256 - 3*sqrt(105)/256 - sqrt(165)/256 - 5*sqrt(5)/256 + 7*sqrt(33)/768 + 3*sqrt(385)/256 + 35*sqrt(21)/256 + 21*sqrt(77)/256, -7*sqrt(231)/256 - sqrt(15)/256 + sqrt(55)/256 + 35*sqrt(3)/768 + 7*sqrt(11)/256 + 15*sqrt(35)/256 + 3*sqrt(1155)/256 + 213*sqrt(7)/256}
{-223/96 - sqrt(105)/32 - sqrt(5)/64 - sqrt(165)/384 + 7*sqrt(33)/384 + 3*sqrt(385)/128 + 7*sqrt(77)/128 + 7*sqrt(21)/64, -7*sqrt(231)/128 - sqrt(15)/96 + sqrt(55)/128 + 7*sqrt(11)/384 + 7*sqrt(3)/192 + sqrt(1155)/128 + 3*sqrt(35)/64 + 31*sqrt(7)/32}
{-899/384 - 5*sqrt(105)/128 - sqrt(165)/384 - sqrt(5)/128 + 7*sqrt(33)/384 + 7*sqrt(21)/128 + 3*sqrt(385)/128 + 7*sqrt(77)/128, -7*sqrt(231)/128 - 5*sqrt(15)/384 + 7*sqrt(3)/384 + sqrt(55)/128 + 7*sqrt(11)/384 + 3*sqrt(35)/128 + sqrt(1155)/128 + 131*sqrt(7)/128}
{-425/192 - sqrt(165)/192 + sqrt(105)/64 + 7*sqrt(77)/64, sqrt(15)/192 + 7*sqrt(11)/192 + sqrt(1155)/64 + 41*sqrt(7)/64}
{-857/384 - 7*sqrt(21)/128 - sqrt(165)/192 + sqrt(5)/128 + sqrt(105)/128 + 7*sqrt(77)/64, -3*sqrt(35)/128 - 7*sqrt(3)/384 + sqrt(15)/384 + 7*sqrt(11)/192 + sqrt(1155)/64 + 89*sqrt(7)/128}
{-223/96 - sqrt(105)/32 - sqrt(165)/384 + 7*sqrt(33)/384 + 3*sqrt(385)/128 + 7*sqrt(77)/128, -7*sqrt(231)/128 - sqrt(15)/96 + sqrt(55)/128 + 7*sqrt(11)/384 + sqrt(1155)/128 + 31*sqrt(7)/32}
{-899/384 - 5*sqrt(105)/128 - 7*sqrt(21)/128 - sqrt(165)/384 + sqrt(5)/128 + 7*sqrt(33)/384 + 3*sqrt(385)/128 + 7*sqrt(77)/128, -7*sqrt(231)/128 - 3*sqrt(35)/128 - 5*sqrt(15)/384 - 7*sqrt(3)/384 + sqrt(55)/128 + 7*sqrt(11)/384 + sqrt(1155)/128 + 131*sqrt(7)/128}
{-209/96 - 3*sqrt(5)/128 - sqrt(165)/384 + sqrt(105)/32 + 7*sqrt(77)/128 + 21*sqrt(21)/128, sqrt(15)/96 + 7*sqrt(11)/384 + 7*sqrt(3)/128 + sqrt(1155)/128 + 9*sqrt(35)/128 + 17*sqrt(7)/32}
{-425/192 - 3*sqrt(5)/128 - sqrt(165)/384 + sqrt(105)/64 + 7*sqrt(77)/128 + 21*sqrt(21)/128, sqrt(15)/192 + 7*sqrt(11)/384 + 7*sqrt(3)/128 + sqrt(1155)/128 + 9*sqrt(35)/128 + 41*sqrt(7)/64}
{-555/256 - 3*sqrt(385)/256 - 7*sqrt(33)/768 - sqrt(165)/256 - 3*sqrt(5)/256 + 9*sqrt(105)/256 + 21*sqrt(21)/256 + 21*sqrt(77)/256, -sqrt(55)/256 + 3*sqrt(15)/256 + 7*sqrt(3)/256 + 7*sqrt(11)/256 + 9*sqrt(35)/256 + 3*sqrt(1155)/256 + 7*sqrt(231)/256 + 129*sqrt(7)/256}
{-9/4 - 3*sqrt(5)/128 - sqrt(165)/384 + 7*sqrt(77)/128 + 21*sqrt(21)/128, 7*sqrt(11)/384 + 7*sqrt(3)/128 + sqrt(1155)/128 + 9*sqrt(35)/128 + 3*sqrt(7)/4}
{-857/384 - sqrt(5)/64 - sqrt(165)/384 + sqrt(105)/128 + 7*sqrt(77)/128 + 7*sqrt(21)/64, sqrt(15)/384 + 7*sqrt(11)/384 + 7*sqrt(3)/192 + sqrt(1155)/128 + 3*sqrt(35)/64 + 89*sqrt(7)/128}
{-1735/768 - 5*sqrt(5)/256 - sqrt(105)/256 - sqrt(165)/768 + 7*sqrt(33)/768 + 3*sqrt(385)/256 + 7*sqrt(77)/256 + 35*sqrt(21)/256, -7*sqrt(231)/256 - sqrt(15)/768 + sqrt(55)/256 + 7*sqrt(11)/768 + 35*sqrt(3)/768 + sqrt(1155)/256 + 15*sqrt(35)/256 + 199*sqrt(7)/256}
{-1763/768 - 5*sqrt(105)/256 - 5*sqrt(5)/256 - sqrt(165)/768 + 7*sqrt(33)/768 + 3*sqrt(385)/256 + 7*sqrt(77)/256 + 35*sqrt(21)/256, -7*sqrt(231)/256 - 5*sqrt(15)/768 + sqrt(55)/256 + 7*sqrt(11)/768 + 35*sqrt(3)/768 + sqrt(1155)/256 + 15*sqrt(35)/256 + 227*sqrt(7)/256}
{-425/192 - sqrt(165)/384 - sqrt(5)/128 + sqrt(105)/64 + 7*sqrt(21)/128 + 7*sqrt(77)/128, sqrt(15)/192 + 7*sqrt(3)/384 + 7*sqrt(11)/384 + 3*sqrt(35)/128 + sqrt(1155)/128 + 41*sqrt(7)/64}
{-555/256 - 3*sqrt(385)/256 - 7*sqrt(21)/256 - 7*sqrt(33)/768 - sqrt(165)/256 + sqrt(5)/256 + 9*sqrt(105)/256 + 21*sqrt(77)/256, -3*sqrt(35)/256 - sqrt(55)/256 - 7*sqrt(3)/768 + 3*sqrt(15)/256 + 7*sqrt(11)/256 + 3*sqrt(1155)/256 + 7*sqrt(231)/256 + 129*sqrt(7)/256}
{-9/4 - sqrt(165)/384 - sqrt(5)/128 + 7*sqrt(21)/128 + 7*sqrt(77)/128, 7*sqrt(3)/384 + 7*sqrt(11)/384 + 3*sqrt(35)/128 + sqrt(1155)/128 + 3*sqrt(7)/4}
{-583/256 - 3*sqrt(105)/256 - 3*sqrt(5)/256 - sqrt(165)/768 + 7*sqrt(33)/768 + 3*sqrt(385)/256 + 7*sqrt(77)/256 + 21*sqrt(21)/256, -7*sqrt(231)/256 - sqrt(15)/256 + sqrt(55)/256 + 7*sqrt(11)/768 + 7*sqrt(3)/256 + sqrt(1155)/256 + 9*sqrt(35)/256 + 213*sqrt(7)/256}
{-857/384 - sqrt(165)/384 + sqrt(105)/128 + 7*sqrt(77)/128, sqrt(15)/384 + 7*sqrt(11)/384 + sqrt(1155)/128 + 89*sqrt(7)/128}
{-1763/768 - 5*sqrt(105)/256 - sqrt(165)/768 - sqrt(5)/256 + 7*sqrt(33)/768 + 7*sqrt(21)/256 + 3*sqrt(385)/256 + 7*sqrt(77)/256, -7*sqrt(231)/256 - 5*sqrt(15)/768 + 7*sqrt(3)/768 + sqrt(55)/256 + 7*sqrt(11)/768 + 3*sqrt(35)/256 + sqrt(1155)/256 + 227*sqrt(7)/256}
{-9/4 - 7*sqrt(21)/128 - sqrt(165)/384 + sqrt(5)/128 + 7*sqrt(77)/128, -3*sqrt(35)/128 - 7*sqrt(3)/384 + 7*sqrt(11)/384 + sqrt(1155)/128 + 3*sqrt(7)/4}
{-137/64 - 3*sqrt(385)/128 - 7*sqrt(33)/384 - 3*sqrt(5)/128 + 3*sqrt(105)/64 + 21*sqrt(21)/128, -sqrt(55)/128 + sqrt(15)/64 + 7*sqrt(3)/128 + 9*sqrt(35)/128 + 7*sqrt(231)/128 + 27*sqrt(7)/64}
{-583/256 - 21*sqrt(77)/256 - 3*sqrt(105)/256 - 11*sqrt(5)/256 + sqrt(165)/256 + 7*sqrt(33)/768 + 3*sqrt(385)/256 + 77*sqrt(21)/256, -7*sqrt(231)/256 - 3*sqrt(1155)/256 - 7*sqrt(11)/256 - sqrt(15)/256 + sqrt(55)/256 + 77*sqrt(3)/768 + 33*sqrt(35)/256 + 213*sqrt(7)/256}
{-857/384 - 7*sqrt(77)/128 - sqrt(5)/32 + sqrt(165)/384 + sqrt(105)/128 + 7*sqrt(21)/32, -sqrt(1155)/128 - 7*sqrt(11)/384 + sqrt(15)/384 + 7*sqrt(3)/96 + 3*sqrt(35)/32 + 89*sqrt(7)/128}
{-1679/768 - 7*sqrt(77)/256 - 3*sqrt(385)/256 - 7*sqrt(33)/768 - 5*sqrt(5)/256 + sqrt(165)/768 + 7*sqrt(105)/256 + 35*sqrt(21)/256, -sqrt(1155)/256 - 7*sqrt(11)/768 - sqrt(55)/256 + 7*sqrt(15)/768 + 35*sqrt(3)/768 + 15*sqrt(35)/256 + 7*sqrt(231)/256 + 143*sqrt(7)/256}
