{-9/4, 3*sqrt(7)/4}
{-223/96 - 7*sqrt(21)/32 - sqrt(77)/32 + sqrt(33)/96, -sqrt(231)/32 - 7*sqrt(3)/96 - sqrt(11)/96 + 31*sqrt(7)/32}
{-211/96 - 3*sqrt(21)/32 - sqrt(33)/96 + sqrt(77)/32, -sqrt(3)/32 + sqrt(11)/96 + sqrt(231)/32 + 19*sqrt(7)/32}
{-215/96 - 7*sqrt(21)/32 - sqrt(33)/96 + sqrt(77)/32, -7*sqrt(3)/96 + sqrt(11)/96 + sqrt(231)/32 + 23*sqrt(7)/32}
{-223/96 - 3*sqrt(21)/32 - sqrt(77)/32 + sqrt(33)/96, -sqrt(231)/32 - sqrt(3)/32 - sqrt(11)/96 + 31*sqrt(7)/32}
{-211/96 - 7*sqrt(21)/32 - sqrt(33)/96 + sqrt(77)/32, -7*sqrt(3)/96 + sqrt(11)/96 + sqrt(231)/32 + 19*sqrt(7)/32}
{-71/32 - 3*sqrt(77)/32 - sqrt(21)/32 - sqrt(33)/96, -sqrt(11)/32 - sqrt(3)/96 + sqrt(231)/32 + 21*sqrt(7)/32}
{-71/32 - 3*sqrt(77)/32 - 5*sqrt(21)/32 - sqrt(33)/96, -sqrt(11)/32 - 5*sqrt(3)/96 + sqrt(231)/32 + 21*sqrt(7)/32}
{-13/6 - sqrt(21)/8 - sqrt(77)/16 - sqrt(33)/48, -sqrt(3)/24 - sqrt(11)/48 + sqrt(231)/16 + sqrt(7)/2}
{-103/48 - sqrt(77)/16 - sqrt(21)/16 - sqrt(33)/48, -sqrt(11)/48 - sqrt(3)/48 + sqrt(231)/16 + 7*sqrt(7)/16}
{-55/24 - sqrt(77)/8, -sqrt(11)/24 + 7*sqrt(7)/8}
{-109/48 - sqrt(77)/8 + sqrt(21)/16, -sqrt(11)/24 + sqrt(3)/48 + 13*sqrt(7)/16}
{-13/6 - sqrt(77)/16 - sqrt(33)/48, -sqrt(11)/48 + sqrt(231)/16 + sqrt(7)/2}
{-103/48 - sqrt(77)/16 - sqrt(33)/48 + sqrt(21)/16, -sqrt(11)/48 + sqrt(3)/48 + sqrt(231)/16 + 7*sqrt(7)/16}
{-7/3 - 3*sqrt(21)/16 - sqrt(77)/16, -sqrt(3)/16 - sqrt(11)/48 + sqrt(7)}
{-55/24 - 3*sqrt(21)/16 - sqrt(77)/16, -sqrt(3)/16 - sqrt(11)/48 + 7*sqrt(7)/8}
{-75/32 - 3*sqrt(77)/32 - 3*sqrt(21)/32 + sqrt(33)/96, -sqrt(231)/32 - sqrt(11)/32 - sqrt(3)/32 + 33*sqrt(7)/32}
{-9/4 - 3*sqrt(21)/16 - sqrt(77)/16, -sqrt(3)/16 - sqrt(11)/48 + 3*sqrt(7)/4}
{-109/48 - sqrt(21)/8 - sqrt(77)/16, -sqrt(3)/24 - sqrt(11)/48 + 13*sqrt(7)/16}
{-215/96 - 5*sqrt(21)/32 - sqrt(77)/32 - sqrt(33)/96, -5*sqrt(3)/96 - sqrt(11)/96 + sqrt(231)/32 + 23*sqrt(7)/32}
{-211/96 - 5*sqrt(21)/32 - sqrt(77)/32 - sqrt(33)/96, -5*sqrt(3)/96 - sqrt(11)/96 + sqrt(231)/32 + 19*sqrt(7)/32}
{-55/24 - sqrt(77)/16 - sqrt(21)/16, -sqrt(11)/48 - sqrt(3)/48 + 7*sqrt(7)/8}
{-75/32 - 3*sqrt(77)/32 + sqrt(33)/96 + sqrt(21)/32, -sqrt(231)/32 - sqrt(11)/32 + sqrt(3)/96 + 33*sqrt(7)/32}
{-9/4 - sqrt(77)/16 - sqrt(21)/16, -sqrt(11)/48 - sqrt(3)/48 + 3*sqrt(7)/4}
{-71/32 - 3*sqrt(21)/32 - sqrt(77)/32 - sqrt(33)/96, -sqrt(3)/32 - sqrt(11)/96 + sqrt(231)/32 + 21*sqrt(7)/32}
{-109/48 - sqrt(77)/16, -sqrt(11)/48 + 13*sqrt(7)/16}
{-211/96 - sqrt(77)/32 - sqrt(21)/32 - sqrt(33)/96, -sqrt(11)/96 - sqrt(3)/96 + sqrt(231)/32 + 19*sqrt(7)/32}
{-9/4 - sqrt(77)/16 + sqrt(21)/16, -sqrt(11)/48 + sqrt(3)/48 + 3*sqrt(7)/4}
{-19/8 - 3*sqrt(21)/16 + sqrt(33)/48, -sqrt(231)/16 - sqrt(3)/16 + 9*sqrt(7)/8}
{-71/32 - 11*sqrt(21)/32 - sqrt(33)/96 + 3*sqrt(77)/32, -11*sqrt(3)/96 + sqrt(11)/32 + sqrt(231)/32 + 21*sqrt(7)/32}
{-109/48 - sqrt(21)/4 + sqrt(77)/16, -sqrt(3)/12 + sqrt(11)/48 + 13*sqrt(7)/16}
{-223/96 - 5*sqrt(21)/32 + sqrt(33)/96 + sqrt(77)/32, -sqrt(231)/32 - 5*sqrt(3)/96 + sqrt(11)/96 + 31*sqrt(7)/32}
{-107/48 - sqrt(21)/16, -sqrt(3)/48 + 11*sqrt(7)/16}
{-35/16 - 3*sqrt(21)/16, -sqrt(3)/16 + 9*sqrt(7)/16}
{-17/8 - 3*sqrt(21)/8, -sqrt(3)/8 + 3*sqrt(7)/8}
{-73/32 + sqrt(21)*(3 - sqrt(33))/32 + sqrt(33)/96, -sqrt(231)/32 - sqrt(11)/32 + sqrt(3)/32 + 27*sqrt(7)/32}
{-35/16 - sqrt(21)/16, -sqrt(3)/48 + 9*sqrt(7)/16}
{-17/8 - sqrt(21)/8, -sqrt(3)/24 + 3*sqrt(7)/8}
{-33/16 - 3*sqrt(21)/16, -sqrt(3)/16 + 3*sqrt(7)/16}
{-209/96 - 7*sqrt(21)/32 + sqrt(33)/96 + sqrt(77)/32, -sqrt(231)/32 - 7*sqrt(3)/96 + sqrt(11)/96 + 17*sqrt(7)/32}
{-209/96 - sqrt(77)/32 - sqrt(33)/96 + sqrt(21)/32, -sqrt(11)/96 + sqrt(3)/96 + sqrt(231)/32 + 17*sqrt(7)/32}
{-205/96 - 3*sqrt(21)/32 - sqrt(77)/32 - sqrt(33)/96, -sqrt(3)/32 - sqrt(11)/96 + sqrt(231)/32 + 13*sqrt(7)/32}
